temperature,latitude,longitude,nh3,no2,mq131,mq7,pm25,pm10,aqi,humidity,timestamp
25.70,0.0,0.0,0.20,0.43,0.05,0.28,54.45,99.18,99.18,69.20,1735065384421.0
25.70,0.0,0.0,0.53,0.52,0.06,0.20,49.76,92.32,92.32,67.40,1735065329636.0
25.70,0.0,0.0,0.78,0.50,0.05,0.21,0.00,91.09,91.09,66.90,1735065264918.0
25.70,0.0,0.0,0.23,0.52,0.06,0.20,49.41,90.50,90.5,66.80,1735065260175.0
25.70,0.0,0.0,0.07,0.55,0.06,0.19,49.27,89.91,89.91,66.80,1735065258554.0
25.70,0.0,0.0,0.76,0.55,0.06,0.22,49.17,90.09,90.09,66.80,1735065256961.0
25.70,0.0,0.0,0.34,0.43,0.04,0.16,49.66,90.97,90.97,66.80,1735065255369.0
25.70,0.0,0.0,0.09,0.55,0.06,0.20,49.51,90.85,90.85,66.80,1735065253777.0
25.70,0.0,0.0,0.13,0.55,0.06,0.20,49.46,90.73,90.73,66.80,1735065252200.0
25.70,0.0,0.0,0.08,0.59,0.07,0.21,49.36,91.03,91.03,66.90,1735065250609.0
25.80,0.0,0.0,0.53,0.52,0.05,0.26,50.64,94.31,94.31,67.60,1735064910194.0
25.80,0.0,0.0,0.13,0.52,0.05,0.26,50.39,94.96,94.96,67.60,1735064906512.0
25.80,0.0,0.0,0.51,0.57,0.05,0.29,2.10,94.66,94.66,67.90,1735064884811.0
25.70,0.0,0.0,0.23,0.48,0.03,0.26,0.00,87.92,87.92,67.80,1735064866083.0
25.80,0.0,0.0,0.26,0.43,0.04,0.23,3.32,96.77,96.77,68.20,1735064739191.0
25.80,0.0,0.0,0.40,0.37,0.04,0.21,0.00,101.23,101.23,68.20,1735064717471.0
25.80,0.0,0.0,0.28,0.39,0.05,0.21,52.54,97.71,97.71,67.70,1735064680725.0
25.90,0.0,0.0,0.36,0.43,0.05,0.21,0.00,101.82,101.82,67.20,1735064301019.0
25.80,0.0,0.0,0.18,0.43,0.06,0.20,51.22,94.78,94.78,67.50,1735064192154.0
25.80,0.0,0.0,0.78,0.41,0.04,0.18,0.44,99.82,99.82,67.10,1735064037346.0
25.70,0.0,0.0,0.76,0.55,0.06,0.23,0.00,102.35,102.35,67.50,1735063907488.0
25.60,0.0,0.0,0.17,0.55,0.06,0.24,4.50,104.99,104.99,67.70,1735063857722.0
25.60,0.0,0.0,0.69,0.57,0.06,0.30,4.30,102.99,102.99,69.00,1735063789934.0
25.50,0.0,0.0,0.13,0.55,0.05,0.30,0.00,0.00,0.55,68.80,1735063778306.0
25.20,0.0,0.0,0.23,0.67,0.06,0.37,0.00,105.16,105.16,69.90,1735063610328.0
25.10,0.0,0.0,0.33,0.78,0.07,0.39,52.69,102.29,102.29,69.90,1735063588619.0
0.00,0.0,0.0,0.00,0.43,0.03,0.01,0.00,0.00,0.43,0.00,1735045255722.0
0.00,0.0,0.0,0.00,0.45,0.04,0.02,0.00,0.00,0.45,0.00,1735045251924.0
0.00,0.0,0.0,0.00,0.50,0.04,0.02,43.74,78.71,78.71,0.00,1735045248162.0
0.00,0.0,0.0,0.00,0.52,0.03,0.01,0.00,0.00,0.52,0.00,1735045244154.0
0.00,0.0,0.0,0.00,0.50,0.04,0.02,0.00,0.00,0.5,0.00,1735045239363.0
0.00,0.0,0.0,0.00,0.45,0.03,0.01,0.00,0.00,0.45,0.00,1735045235547.0
0.00,0.0,0.0,0.00,0.52,0.04,0.02,44.77,83.93,83.93,0.00,1735045222653.0
0.00,0.0,0.0,0.00,0.52,0.04,0.02,0.00,0.00,0.52,0.00,1735045214118.0
0.00,0.0,0.0,0.00,0.52,0.04,0.02,45.01,82.87,82.87,0.00,1735045197777.0
0.00,0.0,0.0,0.00,0.45,0.03,0.02,0.00,0.00,0.45,0.00,1735045185046.0
0.00,0.0,0.0,0.00,0.52,0.04,0.02,43.79,80.70,80.7,0.00,1735045172377.0
0.00,0.0,0.0,0.00,0.50,0.03,0.01,0.00,0.00,0.5,0.00,1735045165228.0
0.00,0.0,0.0,0.00,0.55,0.04,0.02,0.00,0.00,0.55,0.00,1735045160098.0
0.00,0.0,0.0,0.00,0.48,0.04,0.02,0.00,0.00,0.48,0.00,1735045152298.0
0.00,0.0,0.0,0.00,0.55,0.04,0.02,44.04,80.88,80.88,0.00,1735045148497.0
